"Units","ScalingFactors","MinDate","observationPeriods","NumPlaces","StatVar","MeasurementMethods"
"[USDollar]","[]","1975","[P1Y]","8","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryPHL","[]"
"[USDollar]","[]","1970","[P1Y]","108","AmountPrincipalRepayment_Debt_PrivateCreditor_PrivateNonGuaranteed_WorldBankCommercialBankAndOther_LongTermExternalDebt","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","121","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderEuropeanInvestmentBank","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","81","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountrySWE","[, WorldBankProjection]"
"[USDollar]","[]","1994","[P1Y]","6","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryMKD","[]"
"[USDollar]","[]","1978","[P1Y]","12","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryLUX","[]"
"[USDollar]","[]","1976","[P1Y]","42","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryFIN","[, WorldBankProjection]"
"[USDollar]","[]","1989","[P1Y]","8","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryTTO","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","102","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderBondholders","[, WorldBankProjection]"
"[USDollar]","[]","2022","[P1Y]","7","AmountPrincipalRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderIslamicSolidarityFundforDev","[]"
"[USDollar]","[]","1970","[P1Y]","120","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryDEU","[, WorldBankProjection]"
"[USDollar]","[]","1973","[P1Y]","8","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryCOD","[]"
"[USDollar]","[]","2003","[P1Y]","8","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountrySVN","[, WorldBankProjection]"
"[USDollar]","[]","1985","[P1Y]","10","AmountPrincipalRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderOrgofArabPetroleumExportingCountries","[]"
"[USDollar]","[]","1970","[P1Y]","105","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderWorldBankIBRD","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","58","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryESP","[, WorldBankProjection]"
